Country,Change,Coverage Volume,Coverage Rank 
Zimbabwe,83,521 / 438,76 / 84 (+8) 
Switzerland,82,428 / 346,85 / 95 (+10) 
Montenegro,80,80 / 0,140 / 0 (-140)
Romania,78,122 / 44,131 / 156 (+25) 
Cambodia,73,554 / 481,74 / 80 (+6) 
Libya,65,6278 / 6213,15 / 16 (+1) 
Belarus,55,155 / 100,116 / 138 (+22) 
Honduras,49,88 / 39,138 / 157 (+19) 
El Salvador,45,78 / 33,143 / 158 (+15) 
Djibouti,38,40 / 2,156 / 193 (+37) 
Slovak Republic,38,50 / 12,151 / 176 (+25) 
Haiti,36,123 / 87,130 / 142 (+12) 
Democratic Republic of the Congo,34,40 / 6,157 / 187 (+30) 
Nigeria,29,3298 / 3269,29 / 28 (-1) 
Croatia,22,101 / 79,136 / 147 (+11) 
Mauritania,20,32 / 12,160 / 177 (+17) 
Finland,20,51 / 31,150 / 159 (+9) 
Botswana,13,37 / 24,158 / 163 (+5) 
Malawi,6,124 / 118,129 / 131 (+2) 
Bhutan,5,28 / 23,164 / 164 (0) 
Hong Kong,-3,55 / 58,149 / 149 (0) 
Brazil,-5,310 / 315,92 / 101 (+9) 
Dominican Republic,-8,115 / 123,132 / 128 (-4) 
Togo,-10,20 / 30,169 / 160 (-9) 
Venezuela,-18,1294 / 1312,47 / 43 (-4) 
Luxembourg,-20,24 / 44,168 / 155 (-13) 
Jordan,-21,430 / 451,84 / 83 (-1) 
Turkmenistan,-22,26 / 48,165 / 153 (-12) 
Macedonia,-24,2 / 26,194 / 162 (-32) 
Latvia,-33,78 / 111,142 / 135 (-7) 
Colombia,-38,478 / 516,82 / 78 (-4) 
Bangladesh,-41,995 / 1036,57 / 51 (-6) 
Swaziland,-42,552 / 594,75 / 68 (-7) 
Guyana,-44,143 / 187,121 / 116 (-5) 
Panama,-46,58 / 104,148 / 137 (-11) 
Belize,-48,328 / 376,91 / 89 (-2) 
Costa Rica,-56,25 / 81,166 / 145 (-21) 
Uruguay,-59,61 / 120,147 / 129 (-18) 
Kyrgyzstan,-61,32 / 93,161 / 141 (-20) 
Tanzania,-62,76 / 138,144 / 125 (-19) 
Lithuania,-63,180 / 243,110 / 111 (+1) 
Senegal,-64,86 / 150,139 / 122 (-17) 
Bosnia-Herzegovina,-65,30 / 95,163 / 140 (-23) 
Gaza Strip,-69,45 / 114,155 / 134 (-21) 
Cameroon,-72,423 / 495,86 / 79 (-7) 
Chad,-75,302 / 377,94 / 88 (-6) 
Liechtenstein,-92,06 / 98,184 / 139 (-45) 
Peru,-99,243 / 342,102 / 97 (-5) 
Sierra Leone,-104,147 / 251,119 / 109 (-10) 
Nicaragua,-110,10 / 120,181 / 130 (-51) 
Laos,-117,255 / 372,97 / 90 (-7) 
Zambia,-121,136 / 257,123 / 107 (-16) 
Niger,-122,24 / 146,167 / 123 (-44) 
Australia,-136,5957 / 6093,18 / 17 (-1) 
"Vietnam, Republic of",-142,577 / 719,72 / 64 (-8) 
Singapore,-167,232 / 399,106 / 86 (-20) 
Belgium,-172,368 / 540,90 / 74 (-16) 
Namibia,-172,177 / 349,111 / 94 (-17) 
Estonia,-173,145 / 318,120 / 99 (-21) 
Guatemala,-183,133 / 316,125 / 100 (-25)
Portugal,-196,61 / 257,146 / 108 (-38) 
Austria,-255,290 / 545,95 / 72 (-23) 
Denmark,-280,79 / 359,141 / 93 (-48) 
Georgia,-282,131 / 413,128 / 85 (-43) 
Malaysia,-303,4022 / 4325,25 / 22 (-3) 
Burundi,-334,246 / 580,101 / 70 (-31) 
Bulgaria,-341,405 / 746,88 / 63 (-25) 
United Kingdom,-350,7701 / 8051,12 / 13 (+1) 
Eritrea,-360,6 / 366,187 / 91 (-96) 
Ethiopia,-386,248 / 634,98 / 65 (-33) 
Hungary,-387,155 / 542,115 / 73 (-42) 
Bahrain,-389,743 / 1132,65 / 47 (-18) 
Azerbaijan,-394,131 / 525,126 / 76 (-50) 
Norway,-457,492 / 949,80 / 54 (-26) 
Rwanda,-465,626 / 1091,70 / 48 (-22) 
South Korea,-490,1594 / 2084,42 / 39 (-3) 
Paraguay,-545,478 / 1023,81 / 52 (-29) 
Mali,-567,495 / 1062,79 / 49 (-30) 
New Zealand,-574,1188 / 1762,50 / 41 (-9) 
Gambia,-586,628 / 1214,69 / 44 (-25) 
Cote d'Ivoire,-633,171 / 804,112 / 58 (-54) 
Liberia,-667,136 / 803,124 / 59 (-65) 
Sri Lanka,-682,1189 / 1871,49 / 40 (-9) 
Myanmar,-689,160 / 849,113 / 55 (-58) 
Poland,-774,273 / 1047,96 / 50 (-46) 
Germany,-836,2516 / 3352,31 / 27 (-4) 
Mexico,-1189,1724 / 2913,40 / 30 (-10) 
Ireland,-1333,1175 / 2508,51 / 36 (-15) 
Italy,-1389,1237 / 2626,48 / 33 (-15) 
Sudan,-1503,1651 / 3154,41 / 29 (-12) 
Thailand,-1592,1928 / 3520,37 / 25 (-12) 
North Korea,-1663,1999 / 3662,36 / 24 (-12) 
West Bank,-1720,1064 / 2784,54 / 31 (-23) 
Iran,-1785,3027 / 4812,30 / 20 (-10) 
Sweden,-1816,808 / 2624,62 / 34 (-28) 
France,-1944,3664 / 5608,27 / 18 (-9) 
India,-1984,8569 / 10553,11 / 9 (-2) 
South Sudan,-2030,670 / 2700,68 / 32 (-36) 
Netherlands,-2717,4829 / 7546,22 / 14 (-8) 
Lebanon,-2880,6160 / 9040,16 / 12 (-4) 
Turkey,-4198,17383 / 21581,5 / 4 (-1) 
Canada,-4338,5877 / 10215,19 / 11 (-8) 
Iraq,-6093,4392 / 10485,24 / 10 (-14) 
Israel,-6258,8791 / 15049,8 / 7 (-1) 
Afghanistan,-22656,6681 / 29337,14 / 2 (-12)
